ID,m/z,m.z_Floor,RT,RT_Floor,RT_Ceiling,Adduct,Height,Area,MatchScore,Gaussian,S/N
0,97.07641,97,0.51549017,0.5,0.75,[M+H]+,788511,2445925.346,0,0.470896,27.32294
1,394.35248,394,0.51549017,0.5,0.75,[M+H]+,96566.4375,317520.3191,0,0.4755703,1931.329
2,453.39673,453,0.51549017,0.5,0.75,[M+H]+,23063.8125,74086.31369,0,0.7274782,461.2762
3,96.04479,96,0.52189013,0.5,0.75,[M+H]+,647545,3461135.606,0,0.571744,46.8096
4,103.95536,104,0.52189013,0.5,0.75,[M+H]+,1161886.438,3882464.572,0,0.6815975,276.318
5,105.95355,106,0.52189013,0.5,0.75,[M+H]+,470311.125,1578190.808,0,0.5165938,155.4563
6,121.96658,122,0.52189013,0.5,0.75,[M+H]+,35560,128878.9367,0,0.5877434,9.663486
7,136.11224,136,0.52189013,0.5,0.75,[M+H]+,94969.6875,318822.5766,0,0.7056448,4.854699
8,144.98235,145,0.52189013,0.5,0.75,[M+H]+,56278523.19,191713237.3,0,0.6763682,182.4179
9,145.98515,146,0.52189013,0.5,0.75,[M+H]+,2770062.25,9277877.979,0,0.6196074,14.38446
10,146.97995,147,0.52189013,0.5,0.75,[M+H]+,27022566,90848065.1,0,0.7049208,216.1476
11,147.98318,148,0.52189013,0.5,0.75,[M+H]+,1400732.563,6244898.623,0,0.4821181,782.0978
12,184.98546,185,0.52189013,0.5,0.75,[M+H]+,2136055.313,11535486.58,0,0.5358356,123.4587
13,186.98088,187,0.52189013,0.5,0.75,[M+H]+,793617.3125,3743869.688,0,0.5186499,13.34768
14,188.97842,189,0.52189013,0.5,0.75,[M+H]+,85649.4375,280982.4112,0,0.5776111,4.816828
15,191.97777,192,0.52189013,0.5,0.75,[M+H]+,52561.8125,174705.4202,0,0.5817344,12.88243
16,200.23718,200,0.52189013,0.5,0.75,[M+H]+,89181.4375,303780.0783,0,0.6969061,1783.629
17,214.25262,214,0.52189013,0.5,0.75,[M+H]+,116061.9375,395069.343,0,0.7145339,6.688511
18,257.22208,257,0.52189013,0.5,0.75,[M+H]+,170799.875,567097.1234,0,0.6193302,5.140533
19,439.38187,439,0.52189013,0.5,0.75,[M+H]+,28826.5625,99427.20598,0,0.6851492,576.5313
20,520.50946,521,0.52189013,0.5,0.75,[M+H]+,53811.125,187060.6265,0,0.5460824,1076.223
21,526.43195,526,0.52189013,0.5,0.75,[M+H]+,63865.5625,222943.7016,0,0.7003589,1277.311
22,538.51947,539,0.52189013,0.5,0.75,[M+H]+,44962.5,153066.6276,0,0.7064484,899.25
23,71.95255,72,0.56387555,0.5,0.75,[M+H]+,736142.375,3170231.788,0,0.7409899,48.03747
24,74.03269,74,0.56387555,0.5,0.75,[M+H]+,23242257.38,114911789.1,0,0.7875433,753.4518
25,75.03277,75,0.56387555,0.5,0.75,[M+H]+,1100918.5,5496269.169,0,0.795854,328.9662
26,82.0142,82,0.56387555,0.5,0.75,[M+H]+,73744654.69,358469693.6,0,0.8191165,5230.48
27,84.01178,84,0.56387555,0.5,0.75,[M+H]+,8288414.25,40242829.32,0,0.8443246,69.15617
28,84.96008,85,0.56387555,0.5,0.75,[M+H]+,49143233.75,218825437.9,0,0.8389844,3374.242
29,89.50697,90,0.56387555,0.5,0.75,[M+H]+,230774.25,979623.1044,0,0.7187101,20.46066
30,110.00883,110,0.56387555,0.5,0.75,[M+H]+,121216821.8,558787061.8,0,0.8848608,1978.834
31,117.99755,118,0.56387555,0.5,0.75,[M+H]+,15269676.94,65139943.62,0,0.8014808,50.655
32,125.98618,126,0.56387555,0.5,0.75,[M+H]+,259147895,1320053770,0,0.732425,9123.075
33,126.98949,127,0.56387555,0.5,0.75,[M+H]+,9487795.25,47832950.61,0,0.8051275,335.2875
34,139.98772,140,0.56387555,0.5,0.75,[M+H]+,850754.8125,4895320.63,0,0.9309988,43.18088
