precursor.m.z,m.z_Floor,retention.time.range,retention.time.range.left.boundary,RT_Floor,retention.time.range.right.boundary,product ion detection: 89,product ion detection: 103,product ion detection: 116,product ion detection: 130,product ion detection: total detected product ions,product ion intensity: 89,product ion intensity: 103,product ion intensity: 116,product ion intensity: 130,product ion intensity: intensity sum of total intensity product ions
162,162,RT: 5.40,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,2389012.75,NA,3702682,NA,6091694.75
162,162,RT: 5.03,5,5,5.1,TRUE,TRUE,FALSE,FALSE,2,1405009.25,1148.20166,NA,NA,1406157.452
162,162,RT: 4.96,4.9,4.9,5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,729104.6875,NA,729104.6875
203,203,RT: 5.40,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,57046.07813,NA,387037.9688,NA,444084.0469
162,162,RT: 5.84,5.8,5.8,5.9,TRUE,FALSE,TRUE,FALSE,2,128064.9219,NA,101383.1484,NA,229448.0703
208,208,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,221558.6563,NA,NA,NA,221558.6563
208,208,RT: 5.34,5.3,5.3,5.4,FALSE,TRUE,TRUE,FALSE,2,NA,195.5297699,193453.2656,NA,193648.7954
177,177,RT: 6.06,6,6,6.1,TRUE,TRUE,FALSE,FALSE,2,185740.0625,1373.954346,NA,NA,187114.0168
279,279,RT: 4.04,4,4,4.1,FALSE,TRUE,TRUE,FALSE,2,NA,756.3823853,154195.2344,NA,154951.6168
162,162,RT: 4.57,4.5,4.5,4.6,TRUE,FALSE,TRUE,FALSE,2,77973.21094,NA,37981.82422,NA,115955.0352
388,388,RT: 5.17,5.1,5.1,5.2,TRUE,FALSE,FALSE,FALSE,1,113887.8125,NA,NA,NA,113887.8125
162,162,RT: 4.00,4,4,4.1,TRUE,FALSE,TRUE,FALSE,2,105652.6406,NA,4181.525879,NA,109834.1665
223,223,RT: 4.34,4.3,4.3,4.4,FALSE,TRUE,FALSE,FALSE,1,NA,108041.7266,NA,NA,108041.7266
195,195,RT: 6.06,6,6,6.1,TRUE,TRUE,FALSE,FALSE,2,91088.67969,893.0803833,NA,NA,91981.76007
190,190,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,91780.28125,NA,NA,NA,91780.28125
208,208,RT: 5.40,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,5772.38623,NA,63644.38281,NA,69416.76904
229,229,RT: 4.43,4.4,4.4,4.5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,68231.17969,NA,68231.17969
279,279,RT: 6.15,6.1,6.1,6.2,FALSE,TRUE,FALSE,FALSE,1,NA,59284.23828,NA,NA,59284.23828
229,229,RT: 4.21,4.2,4.2,4.3,FALSE,FALSE,TRUE,FALSE,1,NA,NA,55289.52344,NA,55289.52344
263,263,RT: 5.04,5,5,5.1,FALSE,TRUE,FALSE,FALSE,1,NA,55261.54688,NA,NA,55261.54688
310,310,RT: 6.24,6.2,6.2,6.3,TRUE,FALSE,TRUE,FALSE,2,50726.46484,NA,243.581955,NA,50970.0468
166,166,RT: 4.34,4.3,4.3,4.4,FALSE,TRUE,FALSE,FALSE,1,NA,44941.51953,NA,NA,44941.51953
203,203,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,44743.34766,NA,NA,NA,44743.34766
163,163,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,38021.75,NA,NA,NA,38021.75
164,164,RT: 5.46,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,9424.850586,NA,28502.78906,NA,37927.63965
208,208,RT: 5.66,5.6,5.6,5.7,FALSE,FALSE,TRUE,FALSE,1,NA,NA,37168.50391,NA,37168.50391
204,204,RT: 5.46,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,2601.254395,NA,32100.91992,NA,34702.17432
208,208,RT: 5.71,5.7,5.7,5.8,FALSE,FALSE,TRUE,FALSE,1,NA,NA,33415.4375,NA,33415.4375
162,162,RT: 5.33,5.3,5.3,5.4,FALSE,TRUE,TRUE,FALSE,2,NA,694.1582031,32706.76953,NA,33400.92773
162,162,RT: 5.17,5.1,5.1,5.2,TRUE,FALSE,FALSE,FALSE,1,32540.5918,NA,NA,NA,32540.5918
263,263,RT: 4.96,4.9,4.9,5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,31820.92188,NA,31820.92188
383,383,RT: 6.84,6.8,6.8,6.9,FALSE,TRUE,FALSE,FALSE,1,NA,30923.89258,NA,NA,30923.89258
371,371,RT: 5.17,5.1,5.1,5.2,TRUE,FALSE,FALSE,FALSE,1,28352.89844,NA,NA,NA,28352.89844
265,265,RT: 4.78,4.7,4.7,4.8,FALSE,TRUE,FALSE,FALSE,1,NA,25849.41992,NA,NA,25849.41992
208,208,RT: 5.84,5.8,5.8,5.9,TRUE,FALSE,TRUE,FALSE,2,1543.074707,NA,23903.00195,NA,25446.07666
389,389,RT: 5.17,5.1,5.1,5.2,TRUE,FALSE,FALSE,FALSE,1,24953.05859,NA,NA,NA,24953.05859
162,162,RT: 6.00,6,6,6.1,TRUE,TRUE,TRUE,FALSE,3,6182.311035,1447.13562,16914.63477,NA,24544.08143
177,177,RT: 7.31,7.3,7.3,7.4,TRUE,FALSE,FALSE,FALSE,1,23757.40625,NA,NA,NA,23757.40625
162,162,RT: 7.90,7.9,7.9,8,TRUE,FALSE,TRUE,FALSE,2,12818.84375,NA,10114.63965,NA,22933.4834
