precursor m/z,intensity,rawfile name,precursor scan,scan range,retention time range,retention time,retention time range left boundary,retention time range right boundary
105.3400116,12.13726902,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
120.2360077,682.9180908,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
130.1670074,205.3146362,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
144.4930573,1051.438354,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
147.5460052,101.5380936,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
148.4990082,380.0092468,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
149.9170074,350.328064,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
156.8800049,13.62551689,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
158.0830078,56.49147415,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
159.1480103,114.4655075,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
160.8330536,211.8090363,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
162.5830078,263.1331482,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
166.2820587,15906.83105,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
167.0720062,303.5811768,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
172.9170074,267.2373962,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
176.049057,1201.355957,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
177.030014,626.1863403,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
188.0280609,2658.411133,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
190.605011,94.2779007,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
191.9010162,6.349822998,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
194.2950592,5210.939453,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
195.0280609,1491.777222,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
203.2820587,1917.738281,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
204.6830597,1542.577637,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
205.5090637,1024.713257,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
207.8630066,44.50425339,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
209.3330078,198.5623474,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
216.1660156,390.097168,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
222.2600555,9980.639648,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
223.3880615,1998.552856,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
224.5000153,200.5440369,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
225.5080109,426.1731262,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
227.6670074,212.8136749,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
233.8330078,823.1095581,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
235.553009,30.08006287,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
236.5000153,179.1504364,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
245.1080627,547.5452881,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
251.0010071,453.0959778,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
253.8700562,509.1104126,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
256.1070251,1134.893677,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
262.8340149,850.9215698,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
265.375061,1472.649658,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
266.5010681,450.8748474,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
269.1679993,1302.998413,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
273.3359985,489.8700867,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
277.9160156,247.9221039,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
279.4970093,756.3823853,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
283,39.23668289,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
284.7620544,993.3312988,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
