"","m.z_Floor","RT_Floor","precursor.m.z","retention.time.range","retention.time.range.left.boundary","retention.time.range.right.boundary","product.ion.detection..89","product.ion.detection..103","product.ion.detection..116","product.ion.detection..130","product.ion.detection..total.detected.product.ions","product.ion.intensity..89","product.ion.intensity..103","product.ion.intensity..116","product.ion.intensity..130","product.ion.intensity..intensity.sum.of.total.intensity.product.ions","ID","m.z","RT","RT_Ceiling","Adduct","Height","Area","MatchScore","Gaussian","S.N"
"1",165,5.5,165,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,21.31906128,NA,499.1792603,520.4983216,3634,164.52254,5.5246589,5.75,"[M+H]+",155648.75,1151675.538,0,0.6656684,8.25025
"2",165,5.5,165,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,21.31906128,NA,499.1792603,520.4983216,3808,165.07393,5.7190737,5.75,"[M+H]+",1517078.25,11251490.87,0,0.7853676,5.598309
"3",193,5.5,193,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,758.3297119,NA,216.4565887,974.7863006,3684,193.12212,5.5435193,5.75,"[M+H]+",5434782.125,36538961.52,0,0.6749939,19.01628
"4",259,5.5,259,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,446.186615,NA,63.67414856,509.8607636,3812,259.15396,5.7190737,5.75,"[M+H]+",1877515.563,15227571.32,0,0.8368154,11.144
"5",277,5.5,277,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,1211.260132,NA,258.8748474,1470.134979,3770,276.67886,5.6737674,5.75,"[M+H]+",287275.875,1983145.057,0,0.8406993,12.49487
"6",301,5.5,301,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,361.7724609,NA,264.2418518,626.0143127,3744,301.15451,5.6288591,5.75,"[M+H]+",4343369,31053824.11,0,0.9564809,5.878435
"7",313,5.5,313,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,744.8656616,NA,2330.285156,3075.150818,3643,313.10794,5.5246589,5.75,"[M+H]+",711729.4375,4706538.09,0,0.8244752,17.01473
"8",332,5.5,332,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,523.0202026,NA,398.7977905,921.8179931,3648,332.21735,5.5246589,5.75,"[M+H]+",3026226.188,29614780.62,0,0.5225638,10.80414
"9",357,5.5,357,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,487.7740173,NA,65.52635956,553.3003769,3793,356.70541,5.6964633,5.75,"[M+H]+",115667.6875,806913.4669,0,0.7235907,2313.354
"10",359,5.5,359,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,365.4144287,NA,1015.575073,1380.989502,3746,359.10944,5.6288591,5.75,"[M+H]+",80310.125,691749.3727,0,0.7343006,1606.203
"11",365,5.5,365,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,219.7061157,NA,1602.170288,1821.876404,3813,365.08014,5.7190737,5.75,"[M+H]+",684095.3125,5292771.49,0,0.7530993,13681.91
"12",367,5.5,367,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,439.1334839,NA,1280.215454,1719.348938,3731,367.1846,5.6080737,5.75,"[M+H]+",1919235,12986790.6,0,0.9205807,5.156448
"13",367,5.5,367,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,439.1334839,NA,1280.215454,1719.348938,3762,366.7197,5.651209,5.75,"[M+H]+",549979.4375,3469552.554,0,0.7439029,10999.59
"14",375,5.5,375,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,706.9104614,NA,360.4115295,1067.321991,3711,375.19083,5.5645943,5.75,"[M+H]+",2949034.75,28310139.93,0,0.6738167,8.245794
"15",378,5.5,378,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,952.5102539,NA,140.1532135,1092.663467,3795,377.72672,5.6964633,5.75,"[M+H]+",78685.5,672854.2031,0,0.6860704,1573.71
"16",389,5.5,389,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,2489.353027,NA,1241.408203,3730.76123,3693,389.21011,5.5435193,5.75,"[M+2H]2+",1780038,20273677.08,0,0.821954,22.36764
"17",389,5.5,389,"RT: 5.50",5.5,5.6,FALSE,TRUE,FALSE,TRUE,2,NA,2489.353027,NA,1241.408203,3730.76123,3797,388.70465,5.6964633,5.75,"[M+2H]2+",861587.125,7160318.69,0,0.8658919,50.14766
